User_ID,Nitrogen,Phosphorus,Potassium,Zinc,Iron,Boron,Manganese,Copper,pH,Temperature,Rainfall,Humidity,Prediction1,Prediction2,Prediction3,Feedback,Time,Reason,Other_Reason
User_18,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,26:39.2,,
User_19,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,29:05.5,,
User_20,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,29:26.4,,
User_21,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,30:04.6,,
User_22,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,32:18.9,,
User_23,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,55:25.7,Other,Rainfall
User_24,16.47,134.83,23.84,1.79,20.0,1.0,12.0,1.0,7.0,4.88,385.84,14.31,Wheat,Rice,Groundnut,Correct,58:14.9,,
User_25,16.47,134.83,23.84,1.79,20.0,1.0,12.0,1.0,7.0,4.88,385.84,14.31,Wheat,Rice,Groundnut,Correct,58:31.3,Water Issue,
User_26,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,10:05.3,,
User_27,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,10:11.3,"Weather Changed, Market Issue, Water Issue",
User_28,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,37:02.8,,
User_29,52.02,153.9,140.0,3.0,20.0,1.0,12.0,1.0,3.19,9.86,100.0,20.81,Cotton,Wheat,Maize,Wrong,47:55.7,"Farmer Preference, Model Prediction Wrong, AAAAA",
User_30,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,10:06.6,,
User_31,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,10:16.2,,
User_32,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,01:32.8,,
User_33,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,15:12.1,,
User_34,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,16:51.9,,
User_35,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,17:53.7,,
User_36,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,21:05.4,,
User_37,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,52:44.9,किसान की पसंद,
User_38,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,54:02.0,,
User_39,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,18:57.9,,
User_40,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,25:56.6,,
User_41,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,26:26.3,,
User_42,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,26:38.7,,
User_43,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,26:59.2,,
User_44,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,28:31.2,,
User_45,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,28:44.4,,
User_46,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,28:56.2,,
User_47,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,29:21.5,"Other, CCCCCC",
User_48,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,31:15.3,,
User_49,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,35:45.7,,
User_50,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,38:54.3,,
User_51,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,39:06.7,,
User_52,50.76,102.35,27.35,4.0,14.43,0.99,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Wheat,Cotton,Correct,51:27.8,,
User_53,50.76,102.35,27.35,4.0,14.43,0.99,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Wheat,Cotton,Wrong,51:40.8,"Wrong Soil Data, Farmer Preference, Due to Heavy Rainfall",
User_54,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,32:48.5,,
User_55,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,33:02.6,,
User_56,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,51:30.6,,
User_57,50.0,50.0,50.0,3.0,20.0,0.85,12.0,1.0,7.0,24.96,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,07:49.6,"Due to Fertilizer, Farmer Preference, Quality of seed",
User_58,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,35:00.9,Due to Heavy Rainfall,
User_59,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,35:37.0,,
User_60,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,27:19.5,Farmer Preference,
User_61,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,28:53.5,,
User_62,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,2026-05-09 19:49:27.092084,,
